n,h,m
1015,3179,N
177,470,N
739,2262,N
1068,3392,N
2251,7693,N
1111,3539,N
1247,4003,N
1902,6378,N
1780,5917,N
1247,4017,N
98,244,N
153,398,N
1022,3208,N
996,3128,N
664,2002,N
1264,4070,N
1705,5663,N
880,2732,N
1130,3593,N
2004,6765,N
1390,4502,N
591,1747,N
30,63,N
198,525,N
1517,4992,N
247,677,N
1052,3330,N
1067,3396,N
1804,6044,N
113,288,N
1680,5549,N
1184,3786,N
1330,4294,N
64,153,N
1580,5198,N
1280,4107,N
1726,5708,N
1785,5939,N
1776,5902,N
356,1014,N
1996,6736,N
2244,7665,N
1233,3996,N
104,258,N
788,2413,N
722,2201,N
1418,4621,N
1791,5986,N
1411,4583,N
709,2155,N
861,2661,N
797,2432,N
1454,4743,N
1040,3293,N
1462,4778,N
1008,3179,N
1358,4385,N
1394,4541,N
385,1095,N
2241,7651,N
867,2690,N
1069,3373,N
912,2847,N
1051,3317,N
2115,7163,N
972,3049,N
1439,4680,N
964,3020,N
408,1173,N
1750,5825,N
1559,5133,N
1842,6158,N
292,806,N
2137,7272,N
1707,5679,N
285,785,N
478,1397,N
205,555,N
264,715,N
1540,5064,N
893,2775,N
906,2828,N
1806,6038,N
831,2566,N
688,2075,N
1438,4701,N
764,2324,N
1011,3172,N
2213,7544,N
86,210,N
1665,5511,N
719,2194,N
1271,4114,N
1055,3331,N
2051,6930,N
722,2207,N
1804,6025,N
108,268,N
281,773,N
485,1409,N
1171,3722,N
583,1724,N
1555,5129,N
424,1232,N
1922,6453,N
1558,5162,N
1041,3277,N
30,64,N
2301,7880,N
720,2179,N
1530,5025,N
928,2891,N
39,85,N
2006,6767,N
1781,5933,N
1987,6689,N
1915,6426,N
129,335,N
868,2705,N
424,1208,N
1499,4896,N
425,1228,N
1128,3585,N
2008,6795,N
1832,6116,N
1109,3520,N
1384,4497,N
1252,4048,N
1083,3426,N
2177,7414,N
1673,5522,N
1242,3994,N
1423,4656,N
1512,4934,N
664,2000,N
582,1738,N
1425,4643,N
905,2828,N
1521,5000,N
2071,7025,N
1981,6685,N
1516,4960,N
287,792,N
1572,5225,N
57,131,N
1579,5190,N
974,3049,N
1304,4257,N
1309,4263,N
878,2717,N
1879,6290,N
1577,5180,N
923,2893,N
758,2306,N
1258,4047,N
1046,3292,N
25,51,N
1899,6376,N
1862,6226,N
378,1070,N
371,1050,N
1570,5188,N
689,2076,N
2052,6932,N
2099,7122,N
2032,6872,N
914,2820,N
1058,3369,N
1123,3589,N
1194,3809,N
1720,5698,N
1720,5710,N
2139,7277,N
1629,5387,N
260,710,N
473,1384,N
131,334,N
1581,5207,N
568,1696,N
196,521,N
913,2859,N
1711,5665,N
1478,4836,N
1404,4570,N
1065,3374,N
2168,7372,N
651,1952,N
1065,3359,N
2240,7653,N
2226,7599,N
2155,7336,N
800,2447,N
620,1859,N
1357,4417,N
100,244,N
1212,3921,N
1542,5074,N
49,111,N
1012,3207,N
8,15,N
2191,7456,N
66,158,N
1093,3456,N
1497,4895,N
855,2638,N
1845,6172,N
255,692,N
984,3076,N
150,390,N
879,2729,N
514,1501,N
1441,4705,N
1731,5747,N
932,2898,N
1803,6005,N
460,1330,N
688,2077,N
2013,6788,N
1556,5125,N
1591,5239,N
264,722,N
706,2156,N
2136,7258,N
354,1007,N
1845,6163,N
562,1666,N
2210,7531,N
723,2185,N
2029,6866,N
1951,6569,N
1172,3748,N
2057,6949,N
1469,4802,N
1090,3448,N
1770,5893,N
2229,7609,N
2114,7180,N
1804,6018,N
2138,7261,N
115,291,N
2145,7293,N
1115,3539,N
280,767,N
13,26,N
1623,5372,N
348,985,N
467,1352,N
2026,6840,N
1146,3656,N
1406,4576,N
2131,7240,N
2237,7642,N
1423,4642,N
374,1077,N
1889,6341,N
2073,7013,N
105,260,N
211,562,N
1033,3243,N
1961,6606,N
569,1683,N
2076,7012,N
302,841,N
562,1673,N
1835,6136,N
1320,4260,N
566,1685,N
260,714,N
1970,6636,N
2006,6760,N
1584,5207,N
327,928,N
2157,7340,N
473,1390,N
2148,7300,N
408,1177,N
2161,7361,N
34,74,N
1815,6065,N
261,709,N
1041,3266,N
2287,7825,N
14,28,N
1353,4377,N
1393,4533,N
1225,3925,N
451,1312,N
1308,4200,N
1983,6689,N
1400,4541,N
1908,6391,N
194,518,N
786,2415,N
2055,6953,N
1973,6643,N
1036,3262,N
731,2245,N
1310,4262,N
466,1362,N
143,367,N
548,1626,N
392,1120,N
383,1099,N
845,2615,N
1580,5193,N
1109,3512,N
774,2356,N
2019,6824,N
512,1511,N
261,713,N
1099,3464,N
939,2938,N
2217,7550,N
1094,3481,N
1826,6096,N
2117,7178,N
369,1047,N
1621,5354,N
821,2505,N
1579,5192,N
1917,6448,N
508,1495,N
943,2937,N
728,2219,N
1151,3654,N
533,1570,N
1159,3707,N
557,1651,N
1187,3818,N
1174,3737,N
1732,5763,N
1982,6680,N
1125,3594,N
916,2818,N
1595,5284,N
2085,7054,N
544,1613,N
2137,7277,N
411,1180,N
1382,4530,N
2053,6947,N
1669,5528,N
240,655,N
908,2835,N
997,3124,N
865,2694,N
1503,4937,N
1013,3192,N
1124,3577,N
529,1558,N
1675,5556,N
2170,7382,N
901,2794,N
817,2499,N
1713,5694,N
13,26,N
1864,6224,N
1939,6522,N
120,306,N
505,1485,N
1149,3651,N
814,2508,N
1532,5062,N
2089,7085,N
1931,6491,N
1528,5001,N
1177,3753,N
75,182,N
101,253,N
2033,6859,N
1201,3828,N
761,2317,N
1383,4487,N
101,252,N
313,882,N
675,2036,N
796,2463,N
1429,4679,N
2239,7633,N
191,513,N
1676,5554,N
869,2678,N
2040,6906,N
2095,7112,N
1798,6001,N
357,1006,N
1836,6132,N
2154,7317,N
300,845,N
1265,4073,N
1609,5361,N
1858,6225,N
1581,5192,N
107,263,N
2059,6979,N
722,2181,N
736,2229,N
1518,4984,N
1243,4006,N
2111,7169,N
1546,5107,N
1700,5659,N
270,744,N
2306,7899,N
1173,3749,N
1844,6168,N
1325,4283,N
621,1859,N
390,1115,N
1688,5602,N
2249,7686,N
97,240,N
1877,6278,N
181,481,N
452,1307,N
1898,6386,N
1065,3389,N
253,699,N
2069,7006,N
1840,6144,N
324,918,N
1789,5951,N
1076,3406,N
2,3,N
1393,4558,N
1143,3638,N
1537,5041,N
1310,4211,N
1609,5323,N
1678,5545,N
2053,6949,N
1571,5205,N
1757,5877,N
1612,5367,N
1060,3351,N
797,2439,N
1383,4511,N
516,1513,N
1062,3364,N
941,2955,N
1086,3435,N
1675,5551,N
1847,6171,N
585,1743,N
248,681,N
1208,3868,N
2139,7272,N
1464,4765,N
1414,4592,N
1581,5255,N
371,1058,N
555,1640,N
2218,7561,N
62,146,N
2128,7231,N
207,557,N
1522,5010,N
588,1749,N
839,2589,N
1730,5758,N
1770,5909,N
2069,7006,N
1031,3241,N
1770,5865,N
2060,6966,N
1789,5941,N
1675,5532,N
1595,5249,N
499,1452,N
348,975,N
574,1704,N
299,834,N
1061,3360,N
1712,5682,N
577,1726,N
618,1848,N
2186,7440,N
1591,5242,N
601,1797,N
2068,7016,N
930,2903,N
488,1433,N
1423,4611,N
2215,7549,N
193,511,N
2138,7259,N
809,2489,N
986,3055,N
1270,4095,N
1756,5831,N
1819,6089,N
1100,3503,N
977,3052,N
53,121,N
413,1191,N
750,2278,N
275,766,N
1986,6674,N
1581,5188,N
409,1163,N
1534,5034,N
1045,3296,N
113,288,N
1913,6402,N
1907,6391,N
661,1998,N
46,104,N
1065,3369,N
969,3044,N
1912,6425,N
276,765,N
672,2021,N
2240,7644,N
2260,7729,N
1963,6609,N
1060,3347,N
1977,6676,N
775,2365,N
588,1745,N
880,2727,N
1632,5394,N
1170,3717,N
1053,3330,N
1317,4272,N
405,1162,N
1826,6093,N
64,149,N
2254,7697,N
2306,7899,N
46,106,N
1780,5944,N
1331,4333,N
360,1022,N
2175,7404,N
1655,5465,N
595,1769,N
869,2692,N
530,1570,N
1358,4435,N
770,2354,N
1354,4426,N
467,1367,N
1226,3921,N
607,1825,N
551,1639,N
1979,6675,N
822,2520,N
300,833,N
1476,4816,N
2089,7088,N
1299,4199,N
1266,4071,N
458,1325,N
1532,5021,N
205,547,N
1277,4128,N
473,1381,N
775,2362,N
45,102,N
1091,3463,N
2017,6806,N
1205,3841,N
1212,3876,N
1142,3630,N
290,804,N
1048,3323,N
222,603,N
1660,5520,N
1011,3164,N
1440,4704,N
586,1749,N
899,2808,N
840,2579,N
1421,4643,N
993,3121,N
1731,5756,N
121,309,N
114,287,N
1973,6642,N
397,1133,N
583,1742,N
1875,6264,N
2088,7080,N
718,2166,N
1684,5587,N
757,2302,N
60,142,N
1555,5131,N
2175,7405,N
254,698,N
1437,4710,N
594,1786,N
1551,5146,N
1798,5972,N
505,1474,N
1529,5055,N
2150,7308,N
1906,6380,N
954,2996,N
1929,6470,N
1539,5039,N
1040,3266,N
37,80,N
1048,3301,N
2149,7311,N
409,1170,N
31,67,N
825,2534,N
2087,7062,N
2154,7314,N
2028,6841,N
836,2583,N
1767,5878,N
681,2051,N
819,2524,N
376,1072,N
1673,5538,N
2029,6854,N
741,2246,N
781,2389,N
339,957,N
188,500,N
1966,6607,N
495,1446,N
498,1463,N
1557,5162,N
1075,3399,N
913,2865,N
943,2950,N
1190,3818,N
1495,4866,N
1824,6096,N
122,305,N
1924,6468,N
1294,4173,N
261,717,N
1320,4274,N
1703,5653,N
1422,4629,N
2120,7190,N
1523,4972,N
970,3047,N
1692,5597,N
211,572,N
1818,6057,N
1811,6044,N
1463,4785,N
1995,6721,N
148,385,N
1972,6643,N
1090,3426,N
1529,5018,N
1496,4886,N
315,892,N
946,2954,N
562,1663,N
874,2715,N
1462,4773,N
2078,7044,N
1637,5404,N
2205,7508,N
1787,5953,N
923,2865,N
402,1143,N
1971,6639,N
2293,7849,N
1981,6680,N
1747,5830,N
1631,5378,N
454,1323,N
1491,4862,N
1586,5266,N
580,1726,N
49,109,N
1474,4793,N
1644,5436,N
867,2668,N
208,563,N
1454,4749,N
1150,3660,N
587,1760,N
483,1419,N
603,1809,N
529,1567,N
155,407,N
1150,3693,N
527,1551,N
2211,7537,N
686,2079,N
228,624,N
1734,5770,N
2032,6869,N
279,776,N
595,1772,N
2135,7244,N
2069,7014,N
1112,3516,N
2,3,N
989,3108,N
1259,4042,N
1963,6607,N
1039,3292,N
1792,5982,N
1146,3636,N
364,1038,N
1115,3552,N
852,2639,N
186,497,N
2133,7244,N
1056,3324,N
1191,3786,N
525,1547,N
943,2964,N
1694,5619,N
1315,4264,N
1139,3600,N
826,2529,N
1046,3293,N
483,1413,N
1217,3896,N
2269,7751,N
704,2121,N
1732,5751,N
2073,7016,N
861,2662,N
1528,5029,N
705,2141,N
382,1092,N
1224,3936,N
856,2636,N
1246,4014,N
302,839,N
2128,7224,N
534,1571,N
77,188,N
449,1292,N
635,1916,N
1193,3824,N
2236,7634,N
1957,6594,N
362,1025,N
490,1443,N
2249,7689,N
1523,4991,N
1345,4410,N
1282,4154,N
172,454,N
2190,7446,N
399,1139,N
1484,4914,N
701,2116,N
64,151,N
775,2374,N
1655,5446,N
2134,7255,N
1447,4730,N
1584,5212,N
301,845,N
1137,3605,N
1991,6722,N
796,2466,N
461,1331,N
665,2018,N
688,2095,N
2288,7826,N
2180,7413,N
398,1138,N
1010,3178,N
1747,5814,N
2236,7634,N
421,1209,N
1783,5910,N
1193,3806,N
311,874,N
42,90,N
856,2635,N
1897,6378,N
2305,7898,N
1685,5601,N
2263,7734,N
822,2537,N
2140,7268,N
1301,4208,N
2200,7509,N
1425,4657,N
490,1434,N
803,2465,N
1855,6185,N
1736,5782,N
2264,7733,N
1586,5230,N
466,1359,N
2252,7691,N
2299,7873,N
440,1265,N
656,1978,N
728,2215,N
1653,5480,N
1234,3961,N
32,69,N
1804,6026,N
1904,6391,N
2242,7663,N
395,1134,N
1018,3211,N
893,2757,N
2299,7875,N
1766,5887,N
1748,5819,N
1668,5578,N
1017,3197,N
710,2165,N
699,2129,N
1858,6210,N
377,1076,N
1933,6501,N
394,1123,N
930,2903,N
568,1677,N
1830,6117,N
590,1761,N
785,2418,N
1516,4957,N
968,3043,N
773,2364,N
485,1417,N
2014,6797,N
2261,7727,N
1398,4546,N
369,1057,N
13,26,N
407,1179,N
2072,7001,N
2115,7168,N
468,1358,N
2088,7069,N
1232,3938,N
148,386,N
787,2402,N
2280,7792,N
984,3096,N
528,1563,N
1052,3316,N
1907,6402,N
902,2799,N
1618,5333,N
1267,4076,N
1959,6600,N
112,279,N
1230,3961,N
1712,5673,N
1351,4385,N
648,1950,N
1400,4538,N
1814,6054,N
2099,7113,N
1721,5690,N
76,182,N
1726,5728,N
2021,6826,N
312,872,N
712,2162,N
1688,5583,N
1351,4369,N
1723,5711,N
1745,5804,N
84,204,N
786,2402,N
839,2569,N
1305,4226,N
917,2854,N
1371,4437,N
327,906,N
2234,7618,N
945,2946,N
1837,6125,N
508,1478,N
199,533,N
2091,7073,N
2171,7394,N
1002,3149,N
1154,3672,N
309,866,N
1313,4256,N
196,517,N
197,532,N
1232,3955,N
1840,6150,N
1489,4867,N
2099,7120,N
2050,6927,N
203,545,N
1300,4203,N
1275,4123,N
2068,6998,N
137,350,N
392,1125,N
1209,3865,N
2013,6784,N
130,327,N
429,1245,N
342,964,N
2194,7467,N
350,998,N
957,2998,N
1099,3473,N
1353,4378,N
1865,6221,N
310,863,N
1923,6452,N
2205,7531,N
101,256,N
2058,6970,N
1916,6426,N
780,2400,N
767,2351,N
1731,5747,N
1953,6588,N
830,2565,N
2219,7575,N
1731,5773,N
2185,7453,N
725,2222,N
43,95,N
63,148,N
1355,4407,N
1783,5931,N
1024,3226,N
1101,3489,N
2262,7733,N
125,318,N
1879,6276,N
1490,4885,N
1781,5921,N
581,1734,N
1634,5414,N
557,1654,N
1347,4355,N
918,2857,N
1860,6213,N
1772,5897,N
1215,3891,N
1355,4422,N
1778,5944,N
382,1097,N
490,1435,N
1041,3294,N
1225,3949,N
1460,4779,N
2014,6816,N
1712,5691,N
1377,4493,N
2042,6905,N
100,249,N
511,1493,N
681,2063,N
89,221,N
1633,5405,N
2012,6802,N
452,1302,N
498,1457,N
919,2846,N
1155,3671,N
2300,7868,N
427,1224,N
275,765,N
975,3032,N
1129,3565,N
314,882,N
118,302,N
210,570,N
381,1087,N
795,2442,N
1928,6455,N
1108,3505,N
368,1054,N
913,2846,N
1812,6059,N
1606,5338,N
444,1283,N
1338,4311,N
696,2123,N
1753,5829,N
651,1959,N
1594,5282,N
104,260,N
236,641,N
1454,4768,N
1941,6513,N
679,2059,N
1531,5054,N
77,186,N
572,1702,N
1654,5466,N
61,146,N
1583,5232,N
641,1923,N
972,3044,N
382,1096,N
1088,3479,N
2017,6787,N
207,560,N
68,163,N
1360,4423,N
163,430,N
715,2189,N
202,539,N
1220,3888,N
831,2560,N
1395,4530,N
2239,7647,N
683,2052,N
309,857,N
1756,5836,N
1857,6230,N
670,2012,N
1793,5972,N
893,2764,N
1762,5872,N
1701,5653,N
215,590,N
1061,3340,N
809,2503,N
2183,7437,N
1822,6083,N
912,2831,N
1651,5459,N
988,3110,N
711,2145,N
1977,6651,N
904,2806,N
747,2275,N
1159,3728,N
2192,7454,N
1959,6601,N
56,131,N
1251,4046,N
531,1560,N
987,3099,N
1171,3741,N
1489,4894,N
331,935,N
1293,4199,N
302,843,N
301,836,N
1505,4958,N
2173,7383,N
157,413,N
923,2884,N
1532,5027,N
1169,3720,N
1428,4644,N
804,2466,N
1513,4973,N
1848,6194,N
811,2493,N
1588,5204,N
1222,3914,N
454,1296,N
384,1093,N
1379,4489,N
2061,6985,N
1924,6464,N
2157,7325,N
465,1349,N
1296,4184,N
843,2593,N
1180,3778,N
1105,3501,N
1227,3942,N
2291,7839,N
1322,4263,N
1826,6101,N
702,2112,N
901,2792,N
1512,4934,N
1335,4325,N
1871,6248,N
1027,3225,N
1653,5457,N
688,2088,N
850,2628,N
767,2358,N
382,1083,N
265,726,N
112,278,N
747,2296,N
84,208,N
415,1188,N
559,1647,N
1867,6261,N
2211,7543,N
1364,4467,N
299,828,N
423,1211,N
744,2267,N
313,873,N
253,685,N
1337,4342,N
1187,3817,N
830,2582,N
1933,6502,N
2276,7781,N
1667,5506,N
1428,4645,N
1549,5080,N
1432,4650,N
351,994,N
2235,7633,N
829,2536,N
1194,3838,N
352,994,N
531,1565,N
2156,7342,N
1265,4048,N
1043,3315,N
981,3072,N
1490,4873,N
1703,5633,N
1189,3783,N
1851,6196,N
1447,4711,N
1725,5740,N
1096,3499,N
1406,4572,N
1568,5157,N
1485,4872,N
1813,6057,N
1047,3290,N
419,1196,N
535,1563,N
2073,7010,N
1114,3539,N
2164,7353,N
1103,3515,N
859,2667,N
1594,5242,N
1529,5021,N
510,1501,N
24,51,N
1482,4845,N
537,1592,N
1658,5531,N
1047,3330,N
2263,7730,N
2298,7857,N
1171,3771,N
127,330,N
1148,3656,N
1030,3243,N
1123,3606,N
2184,7436,N
1849,6175,N
662,1988,N
285,783,N
1766,5871,N
953,2961,N
1518,4981,N
1193,3811,N
1715,5725,N
824,2539,N
2295,7855,N
1245,4016,N
1485,4864,N
7,13,N
189,500,N
1375,4449,N
833,2574,N
435,1252,N
55,128,N
129,329,N
1003,3164,N
921,2876,N
1557,5129,N
1757,5840,N
1780,5926,N
702,2126,N
29,63,N
1207,3863,N
1178,3759,N
1569,5157,N
1284,4120,N
914,2832,N
252,694,N
371,1051,N
1537,5057,N
385,1104,N
2305,7894,N
1625,5415,N
678,2043,N
1851,6199,N
980,3065,N
2016,6819,N
103,257,N
190,515,N
2255,7706,N
1483,4832,N
439,1268,N
190,512,N
1460,4762,N
1681,5573,N
920,2881,N
597,1769,N
33,73,N
2191,7469,N
1022,3210,N
669,2016,N
473,1379,N
37,80,N
934,2935,N
1503,4922,N
376,1073,N
1801,6022,N
1498,4902,N
1948,6545,N
322,896,N
1048,3283,N
96,237,N
2103,7127,N
1905,6393,N
1207,3865,N
1206,3844,N
655,1997,N
1862,6242,N
1507,4915,N
130,331,N
858,2652,N
1910,6440,N
1496,4904,N
735,2247,N
1567,5201,N
1475,4819,N
825,2554,N
17,34,N
1655,5447,N
369,1053,N
2048,6943,N
1614,5331,N
1277,4112,N
50,115,N
73,177,N
1276,4106,N
1129,3587,N
1901,6364,N
2214,7550,N
2005,6759,N
217,584,N
2001,6741,N
1155,3698,N
2031,6869,N
2270,7762,N
2000,6745,N
867,2680,N
1648,5453,N
365,1024,N
179,477,N
1734,5753,N
2241,7650,N
442,1274,N
1371,4442,N
1137,3642,N
1850,6173,N
980,3080,N
2014,6802,N
1840,6150,N
2174,7398,N
1674,5554,N
885,2729,N
1801,6014,N
573,1704,N
2301,7880,N
1725,5728,N
855,2660,N
1648,5457,N
1344,4342,N
601,1789,N
1855,6190,N
897,2779,N
1908,6398,N
426,1236,N
1146,3635,N
1655,5458,N
667,1994,N
685,2070,N
364,1030,N
1539,5046,N
2213,7544,N
1534,5060,N
670,1995,N
1901,6398,N
1423,4643,N
1193,3804,N
1237,3976,N
579,1730,N
1625,5397,N
30,65,N
176,463,N
388,1103,N
1260,4052,N
1506,4915,N
204,545,N
2305,7894,N
133,344,N
818,2526,N
1968,6625,N
1393,4522,N
917,2851,N
1876,6298,N
882,2737,N
219,593,N
373,1068,N
1004,3143,N
1868,6252,N
220,586,N
1326,4286,N
1920,6433,N
2278,7792,N
20,40,N
1194,3829,N
80,192,N
807,2490,N
1600,5270,N
226,606,N
1827,6116,N
240,650,N
1132,3615,N
1183,3786,N
438,1266,N
2150,7308,N
1632,5384,N
963,3002,N
2261,7735,N
548,1635,N
124,315,N
1238,4006,N
473,1380,N
1399,4541,N
454,1327,N
285,803,N
978,3069,N
1282,4137,N
1524,4997,N
2056,6981,N
1375,4497,N
1717,5701,N
446,1302,N
710,2162,N
1260,4043,N
53,120,N
1424,4626,N
565,1681,N
173,457,N
9,17,N
2246,7671,N
1137,3612,N
782,2395,N
1454,4736,N
1148,3652,N
192,510,N
174,458,N
218,584,N
1608,5309,N
591,1752,N
1767,5870,N
2063,6981,N
1900,6347,N
818,2506,N
42,92,N
1959,6604,N
1066,3378,N
1160,3705,N
1124,3580,N
1474,4814,N
2107,7140,N
834,2567,N
1141,3641,N
932,2903,N
731,2218,N
1876,6282,N
1786,5943,N
574,1719,N
2221,7576,N
900,2794,N
1327,4296,N
643,1941,N
2176,7418,N
1499,4890,N
1702,5652,N
298,835,N
1613,5304,N
508,1501,N
710,2175,N
644,1936,N
1501,4943,N
296,816,N
1910,6422,N
1811,6046,N
762,2341,N
1092,3448,N
1008,3174,N
782,2398,N
1551,5080,N
2307,7899,N
104,260,N
434,1259,N
973,3039,N
485,1433,N
675,2043,N
287,795,N
1035,3257,N
1264,4061,N
2238,7644,N
559,1659,N
655,1971,N
74,180,N
1631,5379,N
1696,5642,N
609,1824,N
1504,4930,N
1061,3341,N
662,1991,N
1026,3253,N
1848,6167,N
794,2465,N
37,81,N
1514,4958,N
847,2610,N
2012,6790,N
1230,3985,N
2159,7369,N
236,647,N
1874,6270,N
1974,6637,N
1284,4117,N
1058,3330,N
615,1851,N
1035,3277,N
2012,6781,N
147,380,N
1449,4713,N
1567,5202,N
2214,7546,N
932,2905,N
906,2829,N
778,2381,N
2109,7167,N
211,572,N
1413,4596,N
1125,3574,N
1143,3633,N
946,2953,N
269,742,N
113,284,N
1604,5292,N
1869,6248,N
735,2247,N
807,2462,N
872,2735,N
2235,7622,N
148,382,N
2173,7388,N
1894,6359,N
1445,4699,N
1364,4431,N
1474,4801,N
634,1896,N
1824,6086,N
1186,3784,N
528,1553,N
894,2777,N
1093,3444,N
101,254,N
1946,6556,N
1338,4316,N
471,1360,N
789,2417,N
731,2224,N
318,876,N
933,2909,N
842,2612,N
3,5,N
1744,5795,N
1146,3655,N
1694,5610,N
874,2711,N
408,1182,N
1190,3823,N
1148,3649,N
1561,5113,N
346,980,N
1049,3303,N
1090,3455,N
1763,5873,N
1473,4817,N
1801,6009,N
851,2631,N
813,2510,N
16,32,N
622,1851,N
1906,6397,N
741,2260,N
1752,5851,N
468,1363,N
337,959,N
952,2978,N
1575,5215,N
710,2157,N
261,721,N
1819,6086,N
2006,6763,N
1769,5886,N
982,3106,N
1426,4645,N
1543,5049,N
1604,5280,N
2156,7324,N
677,2042,N
355,995,N
1806,6021,N
1080,3440,N
569,1697,N
276,762,N
1035,3266,N
109,278,N
157,407,N
875,2714,N
207,552,N
94,231,N
1942,6523,N
987,3112,N
1701,5638,N
1609,5296,N
611,1819,N
1406,4593,N
2165,7364,N
552,1628,N
2298,7869,N
1924,6469,N
1913,6441,N
184,489,N
494,1452,N
1779,5953,N
1647,5428,N
532,1563,N
1667,5512,N
513,1502,N
230,621,N
487,1424,N
1349,4387,N
1657,5493,N
1802,6004,N
891,2773,N
1885,6324,N
2153,7315,N
1081,3434,N
2118,7186,N
8,15,N
1284,4158,N
285,787,N
296,828,N
1251,4026,N
649,1950,N
1629,5384,N
364,1022,N
1701,5632,N
1020,3210,N
77,184,N
920,2873,N
2103,7130,N
1309,4221,N
620,1847,N
82,202,N
2193,7471,N
10,20,N
703,2126,N
1061,3352,N
1025,3216,N
1338,4318,N
858,2640,N
460,1340,N
1928,6475,N
278,764,N
514,1521,N
1568,5148,N
146,376,N
437,1257,N
1100,3487,N
1279,4127,N
1658,5471,N
371,1048,N
994,3117,N
2226,7601,N
667,1998,N
368,1047,N
141,366,N
256,715,N
2030,6869,N
1821,6060,N
1850,6188,N
132,337,N
2126,7207,N
794,2450,N
1874,6283,N
257,712,N
985,3103,N
1752,5831,N
591,1773,N
1654,5457,N
1369,4425,N
1930,6485,N
1525,5044,N
1932,6505,N
1710,5660,N
596,1778,N
1185,3793,N
386,1092,N
734,2255,N
322,910,N
159,415,N
243,664,N
772,2354,N
165,434,N
1565,5160,N
1734,5757,N
293,814,N
1217,3898,N
885,2748,N
10,20,N
286,798,N
1977,6657,N
1027,3247,N
630,1887,N
686,2069,N
3,5,N
1407,4584,N
1137,3611,N
320,900,N
146,379,N
2151,7305,N
302,837,N
1197,3810,N
539,1587,N
50,112,N
1711,5685,N
2238,7645,N
24,50,N
1383,4486,N
274,757,N
1599,5319,N
64,151,N
957,2993,N
1217,3910,N
582,1730,N
849,2613,N
1713,5677,N
1458,4791,N
1276,4135,N
2090,7075,N
93,228,N
446,1293,N
741,2250,N
1397,4579,N
453,1302,N
8,15,N
1289,4131,N
1339,4314,N
497,1463,N
68,162,N
1525,4995,N
910,2822,N
1651,5467,N
1920,6439,N
590,1762,N
1477,4817,N
1618,5341,N
1284,4158,N
673,2031,N
1888,6326,N
302,849,N
821,2534,N
1801,6004,N
2028,6834,N
515,1498,N
1116,3537,N
1747,5825,N
1966,6615,N
1247,3987,N
1556,5117,N
2101,7132,N
427,1220,N
2006,6776,N
1891,6362,N
1892,6345,N
2051,6918,N
1646,5428,N
284,788,N
512,1491,N
749,2294,N
1997,6730,N
132,343,N
221,596,N
1917,6428,N
766,2351,N
996,3112,N
1456,4746,N
1705,5655,N
531,1561,N
421,1215,N
1238,3963,N
2163,7351,N
235,638,N
608,1818,N
1897,6367,N
807,2485,N
1342,4351,N
84,204,N
424,1222,N
1997,6732,N
2234,7627,N
411,1186,N
1702,5653,N
2096,7099,N
1815,6066,N
86,210,N
381,1092,N
1381,4476,N
2207,7534,N
2292,7842,N
1920,6429,N
1361,4409,N
843,2614,N
2255,7708,N
2236,7630,N
519,1531,N
2239,7649,N
1780,5923,N
842,2599,N
2048,6926,N
1431,4701,N
640,1914,N
1837,6153,N
1873,6289,N
486,1433,N
2101,7139,N
246,678,N
1913,6423,N
215,571,N
2148,7297,N
1971,6645,N
212,573,N
1010,3185,N
1498,4908,N
316,891,N
919,2839,N
1716,5680,N
1218,3896,N
1659,5514,N
1407,4578,N
249,681,N
116,294,N
936,2906,N
1763,5891,N
1378,4462,N
657,1962,N
1761,5875,N
52,120,N
2264,7739,N
878,2707,N
1848,6184,N
1514,4972,N
2030,6861,N
169,447,N
616,1842,N
750,2292,N
1081,3402,N
1351,4378,N
1141,3632,N
338,961,N
1563,5130,N
659,1993,N
775,2388,N
1209,3868,N
2215,7558,N
1165,3695,N
1440,4696,N
2140,7263,N
774,2366,N
249,684,N
1314,4249,N
1115,3543,N
1050,3315,N
1191,3801,N
1554,5130,N
1871,6275,N
1744,5788,N
416,1194,N
2028,6860,N
1098,3495,N
1396,4525,N
967,3033,N
765,2334,N
1172,3736,N
431,1238,N
1066,3373,N
1276,4090,N
1980,6682,N
1846,6176,N
1849,6163,N
579,1723,N
874,2705,N
66,158,N
679,2041,N
1614,5323,N
593,1772,N
1047,3296,N
133,339,N
533,1575,N
1861,6224,N
31,67,N
26,56,N
512,1492,N
506,1486,N
1794,5966,N
1186,3831,N
1454,4750,N
31,65,N
1440,4675,N
1667,5572,N
1425,4692,N
1484,4839,N
1038,3249,N
1997,6738,N
1495,4879,N
91,219,N
2164,7354,N
1759,5879,N
241,657,N
179,472,N
645,1924,N
402,1153,N
835,2596,N
1020,3189,N
48,109,N
1878,6304,N
1519,5004,N
685,2051,N
1818,6071,N
250,682,N
1523,4998,N
2222,7577,N
2246,7664,N
1077,3422,N
840,2612,N
605,1815,N
1497,4899,N
1078,3426,N
1890,6344,N
1892,6363,N
240,659,N
222,609,N
2222,7583,N
107,268,N
363,1028,N
1909,6397,N
156,409,N
1772,5886,N
1725,5721,N
1006,3174,N
1829,6118,N
894,2788,N
2081,7058,N
428,1233,N
395,1145,N
60,139,N
81,199,N
1066,3358,N
371,1054,N
194,517,N
1012,3182,N
79,193,N
17,34,N
395,1126,N
1775,5908,N
1011,3166,N
953,2979,N
972,3035,N
2239,7647,N
