n,h,m
657,1976,N
1615,5343,N
23,49,N
684,2061,N
963,3028,N
604,1806,N
543,1610,N
402,1159,N
384,1101,N
799,2457,N
1911,6412,N
144,375,N
1725,5734,N
2043,6896,N
1677,5572,N
101,248,N
472,1369,N
803,2460,N
657,1982,N
618,1857,N
1472,4802,N
822,2527,N
459,1339,N
1104,3520,N
161,420,N
1218,3933,N
987,3093,N
706,2130,N
1448,4732,N
1933,6512,N
1843,6184,N
306,860,N
942,2951,N
1035,3269,N
637,1910,N
1370,4448,N
534,1579,N
1023,3216,N
1723,5719,N
2278,7791,N
1685,5614,N
1572,5198,N
464,1350,N
1445,4711,N
493,1444,N
11,22,N
194,522,N
1346,4388,N
2195,7469,N
1169,3750,N
1629,5364,N
2194,7456,N
548,1633,N
259,713,N
1088,3455,N
520,1534,N
1303,4205,N
1390,4500,N
599,1782,N
1886,6314,N
2093,7077,N
1728,5731,N
1664,5518,N
1581,5227,N
1446,4781,N
1555,5095,N
674,2037,N
1564,5142,N
689,2075,N
2290,7840,N
1828,6101,N
793,2438,N
1222,3958,N
1089,3440,N
501,1474,N
1564,5164,N
1948,6563,N
1736,5766,N
2190,7459,N
231,627,N
2159,7341,N
1649,5449,N
2131,7230,N
172,455,N
1557,5122,N
44,96,N
537,1589,N
701,2134,N
182,487,N
1606,5320,N
7,13,N
1236,3970,N
205,542,N
824,2538,N
917,2854,N
1101,3484,N
247,677,N
1995,6727,N
1983,6690,N
2167,7384,N
2261,7731,N
126,327,N
1217,3922,N
1077,3407,N
599,1799,N
1374,4449,N
2043,6901,N
1955,6576,N
1536,5035,N
394,1119,N
723,2193,N
1473,4794,N
1661,5480,N
1554,5100,N
129,331,N
286,787,N
1212,3887,N
1077,3383,N
262,720,N
2287,7826,N
1743,5797,N
2143,7275,N
1073,3396,N
2242,7653,N
1600,5256,N
1905,6391,N
2199,7498,N
1229,3949,N
900,2817,N
1916,6432,N
191,507,N
1670,5525,N
815,2493,N
787,2406,N
688,2078,N
1971,6644,N
2083,7064,N
1890,6371,N
1470,4786,N
1234,3954,N
2293,7849,N
610,1808,N
1913,6415,N
492,1442,N
261,720,N
1766,5865,N
528,1545,N
2204,7506,N
883,2746,N
1647,5488,N
707,2152,N
1634,5384,N
819,2541,N
1807,6037,N
1226,3933,N
186,498,N
526,1564,N
727,2219,N
294,820,N
2197,7492,N
2136,7248,N
1394,4532,N
278,768,N
109,275,N
110,273,N
1072,3393,N
1914,6449,N
1541,5072,N
1486,4896,N
638,1921,N
843,2602,N
301,843,N
1836,6140,N
300,834,N
128,323,N
753,2314,N
2133,7248,N
885,2742,N
1246,3979,N
2250,7683,N
1823,6085,N
619,1850,N
1957,6583,N
1162,3693,N
1463,4783,N
1522,4993,N
724,2185,N
1364,4425,N
776,2387,N
740,2252,N
2158,7423,N
308,866,N
1546,5069,N
491,1444,N
2308,7903,N
2237,7642,N
274,759,N
1529,5017,N
2151,7314,N
1829,6106,N
340,963,N
309,862,N
423,1220,N
967,3049,N
2043,6931,N
2006,6764,N
1535,5054,N
506,1471,N
690,2086,N
1962,6614,N
1395,4550,N
1846,6166,N
694,2098,N
663,2003,N
2082,7046,N
2185,7426,N
1545,5118,N
1686,5582,N
1085,3442,N
1209,3891,N
1916,6437,N
2079,7043,N
1209,3852,N
1207,3889,N
1781,5934,N
1564,5119,N
813,2514,N
1984,6685,N
