n,h
772,2361.777777777778
773,2372.0
774,2374.266666666667
775,2374.266666666667
776,2379.285714285714
777,2382.133333333333
778,2382.133333333333
779,2385.0
780,2390.625
781,2397.0
782,2397.0
783,2399.8571428571427
784,2404.0
785,2408.1428571428573
786,2410.0555555555557
787,2410.0555555555557
788,2420.3888888888887
789,2420.3888888888887
790,2424.5555555555557
791,2431.3
792,2434.25
793,2441.8333333333335
794,2444.0625
795,2444.0625
796,2451.16
797,2451.16
798,2451.16
799,2453.25
800,2453.8888888888887
801,2458.8571428571427
802,2464.5384615384614
803,2464.5384615384614
804,2464.5384615384614
805,2477.3333333333335
806,2482.714285714286
807,2482.714285714286
808,2485.3333333333335
809,2493.1176470588234
810,2493.1176470588234
811,2498.8
812,2498.8
813,2509.8888888888887
814,2509.8888888888887
815,2510.222222222222
816,2515.3076923076924
817,2515.3076923076924
818,2519.6
819,2521.5714285714284
820,2525.285714285714
821,2525.8
822,2533.25
823,2535.9
824,2539.285714285714
825,2542.285714285714
826,2547.6666666666665
827,2547.769230769231
828,2547.769230769231
829,2560.9
830,2563.5
831,2564.153846153846
832,2564.153846153846
833,2572.6190476190477
834,2572.6190476190477
835,2575.5555555555557
836,2582.9166666666665
837,2582.9166666666665
838,2583.125
839,2583.125
840,2593.8888888888887
841,2595.7
842,2602.6875
843,2602.6875
844,2604.1666666666665
845,2613.769230769231
846,2613.769230769231
847,2621.0
848,2621.0
849,2627.1
850,2627.2105263157896
851,2627.2105263157896
852,2634.375
853,2640.714285714286
854,2640.714285714286
855,2647.285714285714
856,2647.285714285714
857,2647.4
858,2647.4
859,2663.1785714285716
860,2663.1785714285716
861,2663.1785714285716
862,2668.4444444444443
863,2673.4444444444443
864,2677.0
865,2683.4545454545455
866,2687.090909090909
867,2687.090909090909
868,2692.235294117647
869,2692.235294117647
870,2692.235294117647
871,2699.5
872,2705.8684210526317
873,2705.8684210526317
874,2705.8684210526317
875,2705.8684210526317
876,2716.6666666666665
877,2716.6666666666665
878,2716.6666666666665
879,2724.5
880,2729.0
881,2737.7272727272725
882,2737.7272727272725
883,2744.5882352941176
884,2744.5882352941176
885,2744.777777777778
886,2757.2
887,2757.2
888,2759.25
889,2759.25
890,2767.4
891,2767.4
892,2772.705882352941
893,2772.705882352941
894,2780.3888888888887
895,2780.3888888888887
896,2780.3888888888887
897,2786.8
898,2789.1428571428573
899,2793.125
900,2797.1111111111113
901,2807.8
902,2807.8
903,2810.0
904,2810.2727272727275
905,2813.25
906,2818.909090909091
907,2825.5714285714284
908,2825.5714285714284
909,2826.153846153846
910,2826.153846153846
911,2832.5555555555557
912,2833.3846153846152
913,2845.0555555555557
914,2845.0555555555557
915,2851.8888888888887
916,2851.8888888888887
917,2855.3529411764707
918,2855.3529411764707
919,2857.3333333333335
920,2871.9444444444443
921,2871.9444444444443
922,2877.0
923,2879.7
924,2881.6666666666665
925,2886.1428571428573
926,2886.1428571428573
927,2886.1428571428573
928,2890.1666666666665
929,2899.2
930,2899.2
931,2904.5
932,2904.5
933,2913.1666666666665
934,2914.5
935,2914.5
936,2919.0
937,2921.3333333333335
938,2933.1666666666665
939,2937.0
940,2940.375
941,2941.5333333333333
942,2941.5333333333333
943,2945.0
944,2956.3333333333335
945,2956.3333333333335
946,2959.25
947,2959.25
948,2959.25
949,2969.285714285714
950,2971.0
951,2973.25
952,2976.090909090909
953,2977.3333333333335
954,2981.909090909091
955,2981.909090909091
956,2995.3333333333335
957,2995.9333333333334
958,2995.9333333333334
959,3002.75
960,3006.4
961,3006.4
962,3014.793103448276
963,3014.793103448276
964,3014.793103448276
965,3026.45
966,3026.45
967,3032.3571428571427
968,3034.1
969,3040.0714285714284
970,3040.3076923076924
971,3040.3076923076924
972,3043.5555555555557
973,3043.5555555555557
974,3050.0
975,3056.157894736842
976,3056.157894736842
977,3056.157894736842
978,3070.4347826086955
979,3070.4347826086955
980,3070.4347826086955
981,3080.0
982,3084.4285714285716
983,3084.4285714285716
984,3093.3
985,3094.25
986,3095.5714285714284
987,3097.315789473684
988,3097.315789473684
989,3097.315789473684
990,3103.875
991,3107.090909090909
992,3107.090909090909
993,3119.5238095238096
994,3119.5238095238096
995,3125.3529411764707
996,3125.3529411764707
997,3132.222222222222
998,3138.9285714285716
999,3138.9285714285716
1000,3148.090909090909
1001,3148.090909090909
1002,3153.1
1003,3155.6
1004,3160.4285714285716
1005,3160.4285714285716
1006,3160.4285714285716
1007,3166.0
1008,3169.5714285714284
1009,3173.5555555555557
1010,3173.5555555555557
1011,3179.5555555555557
1012,3188.0
1013,3188.25
1014,3189.4166666666665
1015,3196.181818181818
1016,3196.181818181818
1017,3196.181818181818
1018,3205.6428571428573
1019,3205.6428571428573
1020,3206.9285714285716
1021,3212.0833333333335
1022,3215.3333333333335
1023,3224.6666666666665
1024,3225.6666666666665
1025,3235.777777777778
1026,3235.777777777778
1027,3235.777777777778
1028,3236.4
1029,3249.4545454545455
1030,3249.4545454545455
1031,3249.4545454545455
1032,3257.2
1033,3257.2
1034,3264.5666666666666
1035,3264.5666666666666
1036,3264.5666666666666
1037,3273.8
1038,3278.1428571428573
1039,3282.96
1040,3282.96
1041,3283.714285714286
1042,3291.375
1043,3291.375
1044,3297.1
1045,3297.1
1046,3297.1
1047,3307.25
1048,3311.6470588235293
1049,3311.6470588235293
1050,3313.9
1051,3323.529411764706
1052,3323.529411764706
1053,3325.5384615384614
1054,3325.5384615384614
1055,3329.1666666666665
1056,3338.75
1057,3345.6428571428573
1058,3345.6428571428573
1059,3345.6428571428573
1060,3350.1428571428573
1061,3352.153846153846
1062,3357.0
1063,3365.6363636363635
1064,3365.6363636363635
1065,3369.85
1066,3369.85
1067,3379.7272727272725
1068,3379.7272727272725
